,subspecies,pollen_carrying,"address_Alvin, TX, USA 77511","address_Athens, GA, USA 30607","address_Des Moines, IA, USA 50315","address_Keene, NH, USA 3431","address_New Orleans, LA, USA 70115","address_Saratoga, CA, USA 95070","health_Varroa, Small Hive Beetles",health_ant problems,"health_few varrao, hive beetles",health_healthy,health_missing queen,Day Time_Morning,Day Time_Afternoon,Day Time_Evening,month_7,month_8
111,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
112,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
113,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
114,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
115,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
116,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
117,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
118,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
119,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
120,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
121,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
122,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
123,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
124,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
125,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
126,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
127,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
128,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
129,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
130,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
131,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
132,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
133,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
134,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
135,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
136,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
137,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
138,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
139,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
140,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
141,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
142,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
143,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
144,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
145,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
146,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
147,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
148,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
149,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
150,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
151,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
152,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
153,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
154,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
155,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
156,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
157,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
158,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
159,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
160,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
161,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
162,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
163,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
164,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
165,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
166,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
167,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
168,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
169,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
170,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
171,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
172,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
173,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
174,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
175,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
176,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
177,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
178,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
179,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
180,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
181,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
182,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
183,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
184,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
185,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
186,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
187,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
188,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
189,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
190,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
191,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
192,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
193,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
194,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
195,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
196,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
197,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
198,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
199,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
200,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
201,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
202,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
203,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
204,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
205,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
206,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
207,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
208,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
209,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
210,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
211,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
212,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
213,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
214,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
215,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
216,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
217,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
218,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
219,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
220,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
221,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
222,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
223,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
224,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
225,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
226,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
227,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
228,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
229,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
230,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
231,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
232,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
233,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
234,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
235,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
236,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
237,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
238,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
239,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
240,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
241,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
242,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
243,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
244,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
245,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
246,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
247,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
248,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
249,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
250,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
251,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
252,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
253,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
254,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
255,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
256,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
257,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
258,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
259,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
260,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
261,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
262,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
263,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
264,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
265,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
266,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
267,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
268,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
269,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
270,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
271,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
272,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
273,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
274,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
275,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
276,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
277,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
278,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
279,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
280,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
281,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
282,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
283,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
284,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
285,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
286,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
287,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
288,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
289,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
290,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
291,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
292,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
293,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
294,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
295,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
296,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
297,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
298,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
299,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
300,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
301,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
302,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
303,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
304,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
305,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
306,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
307,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
308,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
309,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
310,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
311,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
312,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
313,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
314,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
315,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
316,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
317,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
318,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
319,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
320,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
321,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
322,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
323,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
324,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
325,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
326,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
327,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
328,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
329,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
330,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
331,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
332,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
333,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
334,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
335,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
336,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
337,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
338,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
339,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
340,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
341,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
342,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
343,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
344,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
345,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
346,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
347,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
348,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
349,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
350,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
351,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
352,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
353,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
354,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
355,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
356,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
357,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
358,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
359,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
360,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
361,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
362,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
363,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
364,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
365,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
366,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
367,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
368,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
369,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
370,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
371,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
372,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
373,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
374,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
375,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
376,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
377,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
378,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
379,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
380,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
381,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
382,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
